wavelength,counts
1143.1511,3156
1143.4359,3172
1143.7207,3172
1144.0055,3182
1144.2903,3185
1144.5751,3161
1144.8597,3160
1145.1445,3173
1145.4293,3174
1145.7141,3152
1145.9989,3161
1146.2836,3160
1146.5684,3149
1146.8531,3137
1147.1378,3141
1147.4226,3155
1147.7074,3159
1147.9921,3156
1148.2769,3120
1148.5615,3164
1148.8463,3109
1149.131,3142
1149.4156,3149
1149.7004,3128
1149.9851,3130
1150.2698,3133
1150.5546,3126
1150.8392,3129
1151.1239,3133
1151.4086,3119
1151.6932,3150
1151.9779,3130
1152.2626,3140
1152.5472,3117
1152.8319,3137
1153.1166,3133
1153.4012,3117
1153.6859,3144
1153.9706,3132
1154.2552,3139
1154.5399,3149
1154.8245,3136
1155.1091,3113
1155.3938,3127
1155.6783,3133
1155.963,3112
1156.2477,3132
1156.5322,3111
1156.8169,3124
1157.1014,3135
1157.3861,3137
1157.6707,3150
1157.9553,3128
1158.2399,3144
1158.5244,3136
1158.8091,3126
1159.0936,3121
1159.3782,3128
1159.6627,3118
1159.9473,3138
1160.2319,3136
1160.5165,3128
1160.801,3114
1161.0856,3118
1161.3701,3126
1161.6547,3131
1161.9392,3125
1162.2238,3115
1162.5082,3128
1162.7927,3083
1163.0773,3116
1163.3618,3126
1163.6464,3140
1163.9308,3110
1164.2153,3142
1164.4999,3132
1164.7843,3138
1165.0688,3116
1165.3533,3129
1165.6378,3094
1165.9222,3126
1166.2068,3115
1166.4912,3127
1166.7758,3122
1167.0602,3124
1167.3446,3127
1167.6292,3126
1167.9136,3115
1168.198,3146
1168.4824,3132
1168.7668,3109
1169.0513,3127
1169.3357,3140
1169.6202,3112
1169.9047,3126
1170.1891,3101
1170.4734,3132
1170.7578,3126
1171.0422,3125
1171.3267,3142
1171.6111,3080
1171.8955,3138
1172.1798,3122
1172.4642,3121
1172.7487,3098
1173.033,3132
1173.3174,3109
1173.6018,3128
1173.8861,3116
1174.1705,3155
1174.4548,3142
1174.7393,3145
1175.0236,3095
1175.3079,3104
1175.5923,3122
1175.8766,3151
1176.1609,3115
1176.4453,3131
1176.7296,3126
1177.0139,3104
1177.2982,3103
1177.5825,3108
1177.8668,3134
1178.1511,3124
1178.4354,3113
1178.7197,3101
1179.004,3122
1179.2883,3103
1179.5726,3092
1179.8569,3110
1180.1412,3122
1180.4254,3115
1180.7097,3121
1180.994,3087
1181.2782,3106
1181.5625,3137
1181.8468,3115
1182.131,3112
1182.4153,3108
1182.6995,3109
1182.9838,3112
1183.2679,3109
1183.5522,3120
1183.8364,3081
1184.1206,3116
1184.4049,3108
1184.6891,3117
1184.9733,3103
1185.2574,3084
1185.5416,3119
1185.8258,3101
1186.1101,3085
1186.3943,3100
1186.6785,3100
1186.9626,3121
1187.2468,3114
1187.5309,3106
1187.8151,3090
1188.0992,3115
1188.3834,3109
1188.6676,3113
1188.9518,3114
1189.2358,3117
1189.52,3100
1189.8042,3109
1190.0883,3118
1190.3724,3112
1190.6565,3101
1190.9407,3100
1191.2247,3094
1191.5089,3087
1191.793,3109
1192.077,3084
1192.3612,3107
1192.6453,3092
1192.9293,3091
1193.2135,3099
1193.4976,3082
1193.7816,3078
1194.0657,3088
1194.3497,3118
1194.6338,3089
1194.9178,3091
1195.2019,3120
1195.486,3088
1195.77,3105
1196.0541,3092
1196.3381,3083
1196.6222,3087
1196.9061,3104
1197.1902,3103
1197.4742,3095
1197.7582,3094
1198.0422,3114
1198.3263,3088
1198.6102,3097
1198.8943,3116
1199.1782,3082
1199.4623,3092
1199.7462,3081
1200.0303,3092
1200.3142,3089
1200.5981,3101
1200.8822,3084
1201.1661,3093
1201.4501,3105
1201.734,3121
1202.0179,3109
1202.3019,3081
1202.5858,3089
1202.8699,3091
1203.1538,3088
1203.4377,3088
1203.7216,3110
1204.0055,3112
1204.2894,3114
1204.5734,3108
1204.8573,3081
1205.1412,3072
1205.425,3099
1205.709,3089
1205.9929,3087
1206.2767,3118
1206.5607,3079
1206.8445,3100
1207.1284,3105
1207.4122,3111
1207.6962,3104
1207.98,3098
1208.2639,3078
1208.5477,3094
1208.8315,3083
1209.1155,3084
1209.3993,3108
1209.6831,3088
1209.9669,3112
1210.2507,3101
1210.5345,3082
1210.8184,3083
1211.1022,3105
1211.386,3077
1211.6698,3102
1211.9536,3096
